invnum	Labum DBM	Pb208/Pb206	Pb206/Pb204	Pb207/Pb204	Pb208/Pb204	Pb207/Pb206	Pb204/Pb206	Object
17173	4643_14	2,09536	18,39467	15,66543	38,54343	0,85163	0,05436	Belt
17177	4644_14	2,08121	18,62780	15,67192	38,76833	0,84132	0,05368	Toilet item
17185	4645_14	2,1049	18,24669	15,66178	38,40751	0,85834	0,05480	Pendent
17178.01	4646_14	2,10218	18,30860	15,65197	38,48796	0,8549	0,05462	Nadel
17180.02	4647_14	2,10377	18,31990	15,66153	38,54087	0,85489	0,05459	Fibula
17187.01	4649_14	2,1038	18,30471	15,65851	38,50947	0,85544	0,05463	Pendent
17188.02	4650_14	2,09405	18,41662	15,66637	38,56541	0,85066	0,05430	Armring
20475.01	4651_14	2,08804	18,53334	15,67191	38,69840	0,84561	0,05396	Fibula
20483.04	4652_14	2,07741	18,75792	15,68649	38,96794	0,83626	0,05331	Fibula
20800.01	4653_14	2,08955	18,42200	15,65426	38,49362	0,84976	0,05428	Armring
20806.03	4654_14	2,09563	18,38820	15,66912	38,53489	0,85213	0,05438	Fibula
20807.05	4655_14	2,09734	18,42005	15,68839	38,63301	0,8517	0,05429	Fibula
